,,,
City Served,Airport Name,IATA,
Port Blair,Veer Savarkar International Airport,IXZ,
Kadapa,Kadapa Airport,CDP,
Rajahmundry,Rajahmundry Airport,RJA,
Tirupati,Tirupati Airport,TIR,
Vijayawada,Vijayawada International Airport,VGA,
Visakhapatnam,Visakhapatnam Airport,VTZ,
Along,Along Airport,IXV,
Pasighat,Pasighat Airport,IXT,
Dibrugarh,Dibrugarh Airport,DIB,
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,
Jorhat,Jorhat Airport,JRH,
North Lakhimpur,Lilabari Airport,IXI,
Silchar,Silchar Airport,IXS,
Tezpur,Tezpur Airport,TEZ,
Gaya,Gaya International Airport,GAY,
Patna,Jay Prakash Narayan International Airport,PAT,
Raxaul,Raxaul Airport,RXL,
Raipur,Swami Vivekananda Airport,RPR,
Diu,Diu Airport,DIU,
New Delhi,Indira Gandhi International Airport,DEL,
Goa,Goa International Airport,GOI,
Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,
Bhavnagar,Bhavnagar Airport,BHU,
Bhuj,Bhuj Airport,BHJ,
Jamnagar,Jamnagar Airport,JGA,
Kandla,Kandla Airport,IXY,
Keshod,Keshod Airport,IXK,
Porbandar,Porbandar Airport,PBD,
Rajkot,Rajkot Airport,RAJ,
Surat,Surat Airport,STV,
Vadodara,Vadodara Airport,BDQ,
Kangra,Gaggal Airport,DHM,
Kullu,Bhuntar Airport,KUU,
Shimla,Shimla Airport,SLV,
Jammu,Jammu Airport,IXJ,
Leh,Kushok Bakula Rimpochhe Airport,IXL,
Srinagar,Srinagar International Airport,SXR,
Dhanbad,Dhanbad Airport,DBD,
Jamshedpur,Sonari Airport,IXW,
Ranchi,Birsa Munda Airport,IXR,
Belgaum,Belgaum Airport,IXG,
Bengaluru,Kempegowda International Airport,BLR,
Hubli,Hubli Airport,HBX,
Mangalore,Mangalore International Airport,IXE,
Mysore,Mysore Airport,MYQ,
Kochi,Cochin International Airport,COK,
Trivandrum,Trivandrum International Airport,TRV,
Kozhikode,Calicut International Airport,CCJ,
Agatti,Agatti Aerodrome,AGX,
Bhopal,Raja Bhoj Airport,BHO,
Gwalior,Gwalior airport,GWL,
Indore,Devi Ahilyabai Holkar Airport,IDR,
Jabalpur,Jabalpur Airport,JLR,
Khajuraho,Khajuraho Airport,HJR,
Satna,Satna Airport,TNI,
Akola,Akola Airport,AKD,
Aurangabad,Aurangabad Airport,IXU,
Kolhapur,Kolhapur Airport,KLH,
Mumbai,Chhatrapati Shivaji International Airport,BOM,
Nagpur,Dr. Babasaheb Ambedkar International Airport,NAG,
,Pune Airport,PNQ,
Solapur,Solapur Airport,SSL,
Imphal,Koirengei Airstrip Airport,KG,
Imphal,Imphal International Airport,IMF,
Shillong,Shillong Airport,SHL,
Tura,Baljek Airport,TRU,
Aizawl,Lengpui Airport,AJL,
Dimapur,Dimapur Airport,DMU,
Balasore,Rasgovindpur Airstrip,IN 0057,
Bhubaneswar,Biju Patnaik International Airport,BBI,
Brahmapur,Brahmapur Airport,BMP,
Jeypore,Jeypore Airport,PYB,
Jharsuguda,Jharsuguda Airport,JSA,
Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ,
Bathinda,Bathinda Airport,BUP,
Ludhiana,Sahnewal Airport,LUH,
"Chandigarh, Mohali",Chandigarh International Airport,IXC,
Pathankot,Pathankot Airport,PTK,
Jaipur,Jaipur International Airport,JAI,
Jodhpur,Jodhpur Airport,JDH,
Udaipur,Maharana Pratap Airport,UDR,
Chennai,Chennai International Airport,MAA,
Coimbatore,Coimbatore International Airport,CJB,
Madurai,Madurai International Airport,IXM,
Tiruchirapalli,Tiruchirapalli International Airport,TRZ,
Tuticorin,Tuticorin Airport,TCR,
Hyderadabad,Rajiv Gandhi International Airport,HYD,
Agartala,Agartala Airport,IXA,
Dehradun,Jolly Grant Airport,DED,
Pantnagar,Pantnagar Airport,PGH,
Agra,Agra Air Force Station,AGR,
Allahabad,Allahabad Airport,IXD,
Gorakhpur,Gorakhpur Airport,GOP,
Kanpur,Kanpur Airport,KNU,
Lucknow,Chaudhary Charan Singh International Airport,LKO,
Varanasi,Lal Bahadur Shastri Airport,VNS,
Kolkata,Netaji Subhash Chandra Bose International Airport,CCU,
Siliguri,Bagdogra Airport,IXB,
